iter	MultiClass
0	3.166985905
1	2.929455841
2	2.754312529
3	2.621525303
4	2.513035835
5	2.418089968
6	2.33788641
7	2.263978201
8	2.196192856
9	2.136518849
10	2.079323828
11	2.028401345
12	1.982250857
13	1.941187706
14	1.901536145
15	1.860248318
16	1.824600783
17	1.792141584
18	1.758739726
19	1.727135697
20	1.698641041
21	1.671191151
22	1.6474738
23	1.624158754
24	1.599117059
25	1.578059957
26	1.555343995
27	1.535770099
28	1.515711842
29	1.499523879
30	1.480846528
31	1.464473659
32	1.447176757
33	1.431947497
34	1.414990444
35	1.400961809
36	1.384972014
37	1.3705028
38	1.358102831
39	1.346296413
40	1.333122249
41	1.320526305
42	1.309403378
43	1.296994517
44	1.286810149
45	1.275553676
46	1.263863316
47	1.253037936
48	1.24243526
49	1.233326123
50	1.222643791
51	1.214466912
52	1.204815659
53	1.196498018
54	1.187406367
55	1.179484906
56	1.171030428
57	1.163664435
58	1.156015488
59	1.148582625
60	1.141684716
61	1.132788528
62	1.126399891
63	1.118462676
64	1.111930242
65	1.104568181
66	1.097997496
67	1.090641496
68	1.084479251
69	1.078251807
70	1.072045223
71	1.066596315
72	1.060245627
73	1.053766747
74	1.047576683
75	1.04163569
76	1.035900006
77	1.03004464
78	1.024411055
79	1.019797251
80	1.014757075
81	1.010116758
82	1.005854568
83	1.000411553
84	0.9955037172
85	0.9906306264
86	0.9859596399
87	0.9812968871
88	0.9772016605
89	0.9729784111
90	0.969522512
91	0.9651341327
92	0.9605351142
93	0.9563036746
94	0.9520217028
95	0.9483887601
96	0.9445548243
97	0.9402513923
98	0.9365266717
99	0.9331765468
100	0.9292116093
101	0.9258565995
102	0.921903821
103	0.917847779
104	0.9143718791
105	0.9106770951
106	0.9074525023
107	0.9048127395
108	0.9022000584
109	0.8989478152
110	0.8953488242
111	0.8925269452
112	0.8892013769
113	0.8856938071
114	0.8825027036
115	0.8795756842
116	0.876812619
117	0.8735877769
118	0.8707284763
119	0.8673742783
120	0.864392523
121	0.8611585183
122	0.8583786512
123	0.8558832234
124	0.854285948
125	0.8516703058
126	0.8497482473
127	0.8469578192
128	0.8450452067
129	0.8428799828
130	0.8401528485
131	0.8375672385
132	0.8347705722
133	0.8321529479
134	0.8298598259
135	0.8274339838
136	0.8250314472
137	0.8228350492
138	0.8203911911
139	0.8183234538
140	0.8155853245
141	0.813327111
142	0.8107765186
143	0.8085411942
144	0.8064311645
145	0.8044768985
146	0.8022820468
147	0.8000783059
148	0.7983190308
149	0.796186914
150	0.7942919998
151	0.792187258
152	0.7901671309
153	0.7882820999
154	0.7863002398
155	0.7852385209
156	0.7837428377
157	0.7812751339
158	0.7788853511
159	0.7765842631
160	0.7745672694
161	0.7721522156
162	0.7700477253
163	0.7681123545
164	0.766144967
165	0.7644620178
166	0.7627487216
167	0.7615591615
168	0.7600815744
169	0.7586722608
170	0.7570535234
171	0.7557136588
172	0.7540081505
173	0.7528670044
174	0.7513214108
175	0.7498263588
176	0.7483444289
177	0.7464370507
178	0.7452463174
179	0.7438318819
180	0.742268876
181	0.7404028148
182	0.738887551
183	0.7376140016
184	0.7358475504
185	0.7339971034
186	0.7329689448
187	0.7313721001
188	0.72993228
189	0.7291216621
190	0.7278854888
191	0.7265500825
192	0.7250274163
193	0.7234964892
194	0.7221312741
195	0.7212055261
196	0.7200707734
197	0.7192211752
198	0.7178833918
199	0.7164372948
200	0.7147782212
201	0.7132093486
202	0.7121222695
203	0.7107334778
204	0.7098044692
205	0.7087106872
206	0.707338533
207	0.705777182
208	0.7045297305
209	0.7032096853
210	0.7021685533
211	0.700888214
212	0.6995324951
213	0.6985551325
214	0.6972186121
215	0.6958513379
216	0.6948218994
217	0.6935211192
218	0.6926050016
219	0.6913526453
220	0.6902766254
221	0.6892913457
222	0.6876963244
223	0.686592444
224	0.6857547179
225	0.6847131981
226	0.6838150605
227	0.6829337068
228	0.681951673
229	0.6810180782
230	0.6802939906
231	0.6794881439
232	0.6787132304
233	0.6776189179
234	0.6765191748
235	0.6757621659
236	0.6749018823
237	0.6734880058
238	0.6724769068
239	0.6717091948
240	0.6708051682
241	0.6699670949
242	0.6693261449
243	0.6686623121
244	0.6676257342
245	0.6667604877
246	0.6659170138
247	0.6647632854
248	0.6639133934
249	0.6632964729
250	0.6622334394
251	0.6615076258
252	0.660750394
253	0.6596587642
254	0.6587592305
255	0.6581773361
256	0.6574045835
257	0.6568057006
258	0.6558228122
259	0.6550529792
260	0.6540100316
261	0.653062297
262	0.6523400246
263	0.6517612671
264	0.6507114208
265	0.6498723319
266	0.6493373529
267	0.6484983072
268	0.6480754915
269	0.6471753847
270	0.6463902892
271	0.6454320542
272	0.644640342
273	0.6439718139
274	0.6435571418
275	0.6430726164
276	0.6422233869
277	0.6418052657
278	0.6408344643
279	0.6402976951
280	0.6391657628
281	0.6384658442
282	0.637938292
283	0.6376696525
284	0.6368120619
285	0.6363281919
286	0.6355643311
287	0.6347745834
288	0.6339136529
289	0.6333630648
290	0.6327472312
291	0.6324058046
292	0.6316266061
293	0.630854003
294	0.6303068906
295	0.6295978309
296	0.6289573538
297	0.6279234732
298	0.62671787
299	0.6260279167
